standard_feature,lifestyle_col_(2000_row_file),clinical_2_full_col_(541_row_file),clinical_1_col_(541_row_subset),unit_and_definition_note,leakage_or_circularity_note,final_decision,available_in_lifestyle,available_in_clinical_2_full,available_in_clinical_1_subset
patient_id,Patient File No.,Patient File No.,Patient File No. (+10000 offset),"Same patient, different numbering scheme between clinical_1 and the other two",N/A - identifier,Keep as linkage key only; drop before modeling,True,True,True
target_pcos,PCOS (Y/N),PCOS (Y/N),PCOS (Y/N),"Identical 1/0 encoding, verified identical labels for the 541 shared patients",This IS the target,Keep as target,True,True,True
age, Age (yrs), Age (yrs),-,"Same unit (years), identical values for matched patients",None,Keep,True,True,False
weight,Weight (Kg),Weight (Kg),-,Same unit (Kg); lifestyle values are jittered vs clinical_2,None,Keep,True,True,False
height,Height(Cm) ,Height(Cm) ,-,Same unit (cm); lifestyle values are jittered vs clinical_2,None,Keep,True,True,False
bmi,BMI,BMI,-,Same definition (kg/m^2); recompute from height/weight to sanity-check,None,Keep; recompute and cross-check rather than trust as-is,True,True,False
blood_group,Blood Group,Blood Group,-,"Coded per Instructions sheet: A+=11,A-=12,B+=13,B-=14,O+=15,O-=16,AB+=17,AB-=18",None,"Keep as nominal category; unlikely to carry real signal, include only if EDA shows association",True,True,False
pulse_rate,Pulse rate(bpm) ,Pulse rate(bpm) ,-,Same unit (bpm),None,Keep; check implausible values (<40) as data-entry errors,True,True,False
resp_rate,RR (breaths/min),RR (breaths/min),-,Same unit,None,Keep,True,True,False
hemoglobin,Hb(g/dl),Hb(g/dl),-,Same unit (g/dl),None,Keep,True,True,False
cycle_regularity,Cycle(R/I),Cycle(R/I),-,Coded R/I -> numeric per Instructions sheet; confirm exact code meaning by checking value_counts,"Part of Rotterdam PCOS diagnostic criteria (oligo/anovulation) - expected to be a strong, legitimate predictor, not leakage",Keep; document as diagnostic-criterion-adjacent feature,True,True,False
cycle_length,Cycle length(days),Cycle length(days),-,Same unit (days),None,Keep,True,True,False
marriage_years,Marraige Status (Yrs),Marraige Status (Yrs),-,"Same unit (years); has missing values in both (3 in lifestyle, 1 in clinical_2)",None,Keep; impute,True,True,False
pregnant,Pregnant(Y/N),Pregnant(Y/N),-,Same 1/0 encoding,"Low risk; fertility status, not a PCOS symptom","Keep, low expected importance",True,True,False
n_abortions,No. of abortions,No. of aborptions,-,"SAME FEATURE, DIFFERENT SPELLING between files (typo in clinical_2/Instructions: 'aborptions'). Must rename before merging.",Low risk,Keep; standardize name to 'No. of abortions',True,True,False
beta_hcg_1,  I   beta-HCG(mIU/mL),  I   beta-HCG(mIU/mL),  I   beta-HCG(mIU/mL),Same unit (mIU/mL),"Low risk; used clinically to rule out pregnancy, not a PCOS marker",Keep,True,True,True
beta_hcg_2,II    beta-HCG(mIU/mL),II    beta-HCG(mIU/mL),II    beta-HCG(mIU/mL),Same unit; has text artifacts ('1.99.') in lifestyle needing numeric coercion,Low risk,Keep after cleaning,True,True,True
fsh,FSH(mIU/mL),FSH(mIU/mL),-,Same unit,None,Keep; check outliers >100,True,True,False
lh,LH(mIU/mL),LH(mIU/mL),-,Same unit,None,Keep; check outliers >100,True,True,False
fsh_lh_ratio,FSH/LH,FSH/LH,-,Derived ratio of the two above,None; but redundant with FSH & LH themselves,"Keep, watch for multicollinearity with FSH/LH",True,True,False
hip,Hip(inch),Hip(inch),-,Same unit (inch),None,Keep,True,True,False
waist,Waist(inch),Waist(inch),-,Same unit (inch),None,Keep,True,True,False
waist_hip_ratio,Waist:Hip Ratio,Waist:Hip Ratio,-,Derived from hip & waist,None; redundant with hip/waist,"Keep, watch multicollinearity",True,True,False
tsh,TSH (mIU/L),TSH (mIU/L),-,Same unit,None,Keep,True,True,False
amh,AMH(ng/mL),AMH(ng/mL),AMH(ng/mL),Same unit; has text artifact ('a') in both files needing numeric coercion,"MODERATE circularity risk: AMH is biologically produced by small ovarian follicles and correlates strongly with follicle count, which is itself a diagnostic criterion","Keep after cleaning, but flag in modeling as diagnostic-adjacent; consider a sensitivity model without it",True,True,True
